Gamesa G83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gamesa G97;;;;;;;0.12;;;;;;;;;0.32;;;;;;;;;0.42;;;;;;;;;;0.45;;;;;;;;0.46;;;;;;;;;;0.47;;;;;;;;;;0.46;;;;;;;;;;;0.41;;;;;;;;;0.33;;;;;;;;;;0.26;;;;;;;0.2;;;;;;;;;0.16;;;;;;;;0.13;;;;;;;;;;0.11;;;;;;;;;0.09;;;;;;;;0.08;;;;;;;;;;0.06;;;;0.06;;;;;0.05;;0.04;;0.04;;0.03;;0.02;;;;;
Gamesa G114-2.0MW;;;;;;;0.19;;;;;;;;;0.37;;;;;;;;;0.44;;;;;;;;;;0.46;;;;;;;;0.47;;;;;;;;;;0.46;;;;;;;;;;0.4;;;;;;;;;;;0.31;;;;;;;;;0.24;;;;;;;;;;0.19;;;;;;;0.15;;;;;;;;;0.12;;;;;;;;0.1;;;;;;;;;;0.08;;;;;;;;;0.07;;;;;;;;0.06;;;;;;;;;;0.05;;;;0.04;;;;;0.04;;0.03;;0.02;;0.02;;0.01;;;;;
Gamesa G114-2.5MW;;;;;;;0.21;;;;;;;;;0.34;;;;;;;;;0.41;;;;;;;;;;0.45;;;;;;;;0.46;;;;;;;;;;0.47;;;;;;;;;;0.44;;;;;;;;;;;0.37;;;;;;;;;0.3;;;;;;;;;;0.23;;;;;;;0.18;;;;;;;;;0.15;;;;;;;;0.12;;;;;;;;;;0.1;;;;;;;;;0.08;;;;;;;;0.07;;;;;;;;;;0.06;;;;0.05;;;;;0.04;;0.04;;0.03;;0.02;;0.02;;;;;
Gamesa G126-2.5MW;;;;;;;0.1;;;;;;;;;0.3;;;;;;;;;0.4;;;;;;;;;;0.44;;;;;;;;0.45;;;;;;;;;;0.44;;;;;;;;;;0.4;;;;;;;;;;;0.3;;;;;;;;;0.23;;;;;;;;;;0.19;;;;;;;0.15;;;;;;;;;0.11;;;;;;;;0.1;;;;;;;;;;0.073;;;;;;;;;0.065;;;;;;;;0.051;;;;;;;;;;0.043;;;;0.037;;;;;0.032;;0.026;;0.021;;0.016;;0.013;;;;;
Gamesa G128-4.5MW;;;;;;;0.28;;;;;;;;;0.39;;;;;;;;;0.43;;;;;;;;;;0.45;;;;;;;;0.46;;;;;;;;;;0.46;;;;;;;;;;0.46;;;;;;;;;;;0.44;;;;;;;;;0.39;;;;;;;;;;0.33;;;;;;;0.26;;;;;;;;;0.21;;;;;;;;0.17;;;;;;;;;;0.14;;;;;;;;;0.12;;;;;;;;0.1;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.04;;0.03;;0.03;0.02;0.02;0.02;0.01;0.01
Gamesa G128-5.0MW;;;;;;;0.28;;;;;;;;;0.39;;;;;;;;;0.43;;;;;;;;;;0.46;;;;;;;;0.48;;;;;;;;;;0.48;;;;;;;;;;0.47;;;;;;;;;;;0.44;;;;;;;;;0.4;;;;;;;;;;0.34;;;;;;;0.28;;;;;;;;;0.23;;;;;;;;0.19;;;;;;;;;;0.16;;;;;;;;;0.13;;;;;;;;0.11;;;;;;;;;;0.09;;;;0.08;;;;;0.06;;0.05;;0.04;;0.04;;0.03;0.03;0.02;0.02;0.02;0.01
Gamesa G132-3.3MW;;;;;;;0.159;;;;;;;;;0.313;;;;;;;;;0.413;;;;;;;;;;0.45;;;;;;;;0.461;;;;;;;;;;0.464;;;;;;;;;;0.438;;;;;;;;;;;0.37;;;;;;;;;0.292;;;;;;;;;;0.227;;;;;;;0.179;;;;;;;;;0.143;;;;;;;;0.117;;;;;;;;;;0.096;;;;;;;;;0.08;;;;;;;;0.067;;;;;;;;;;0.057;;;;0.047;;;;;0.039;;0.032;;0.026;;0.022;;0.018;;;;;
Gamesa G132-5.0MW;;;;;;;0.27;;;;;;;;;0.35;;;;;;;;;0.41;;;;;;;;;;0.45;;;;;;;;0.47;;;;;;;;;;0.48;;;;;;;;;;0.47;;;;;;;;;;;0.44;;;;;;;;;0.39;;;;;;;;;;0.33;;;;;;;0.27;;;;;;;;;0.22;;;;;;;;0.18;;;;;;;;;;0.15;;;;;;;;;0.12;;;;;;;;0.1;;;;;;;;;;0.09;;;;0.07;;;;;0.06;;0.05;;0.04;;0.04;;0.03;0.02;0.02;0.02;0.01;0.01
Garuda G 1700.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GE Vernova GE 1.5s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GE Vernova GE 1.5sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GE Vernova GE 1.6 - 100;;;;;;;0.01;;;;;0.08;;;;0.26;;;;;0.37;;;;0.43;;;;;;;0.47;;;0.49;;;;0.49;;;;0.49;;;;;0.49;;;;;0.47;;;;;0.44;;;;;0.41;;;;;;0.37;;;;;0.33;;;;0.29;;;;;0.25;;;;;0.22;;;;;0.2;;;;0.17;;;0.15;;;;;0.14;;;;0.12;;;;0.11;;;;0.1;;;;;0.09;;;;;0.08;;;0.08;;;;;;0.07;;;;0.06;;;;0.06;;;;0.05;;;;;;0.05;;0.05;;0.04;;;0.04;;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;;;;;
GE Vernova GE 2.5 - 100;;;;;;;0.034;;;;;0.156;;;;0.275;;;;;0.299;;;;0.339;;;;;;;0.369;;;0.398;;;;0.416;;;;0.424;;;;;0.426;;;;;0.432;;;;;0.44;;;;;0.436;;;;;;0.432;;;;;0.42;;;;0.392;;;;;0.359;;;;;0.323;;;;;0.298;;;;0.263;;;0.239;;;;;0.215;;;;0.19;;;;0.171;;;;0.154;;;;;0.14;;;;;0.127;;;0.117;;;;;;0.108;;;;0.096;;;;0.087;;;;0.081;;;;;;0.077;;0.07;;0.065;;;0.061;;0.057;;;;;;;;;;;;;
GE Vernova GE 2.5-103;;;;;;;0.12;;;;;0.25;;;;0.32;;;;;0.36;;;;0.39;;;;;;;0.41;;;0.42;;;;0.43;;;;0.44;;;;;0.44;;;;;0.45;;;;;0.45;;;;;0.44;;;;;;0.43;;;;;0.41;;;;0.39;;;;;0.35;;;;;0.32;;;;;0.29;;;;0.25;;;0.23;;;;;0.2;;;;0.18;;;;0.16;;;;0.15;;;;;0.13;;;;;0.12;;;0.11;;;;;;0.1;;;;0.09;;;;0.09;;;;0.08;;;;;;0.07;;0.07;;0.06;;;0.06;;0.05;0.05;0.05;0.04;0.04;0.04;0.04;0.03;0.03;;;;;
GE Vernova GE 2.5 - 120;;;;;;;0.13;;;;;0.3;;;;0.39;;;;;0.43;;;;0.45;;;;;;;0.46;;;0.47;;;;0.48;;;;0.48;;;;;0.48;;;;;0.47;;;;;0.46;;;;;0.43;;;;;;0.39;;;;;0.35;;;;0.31;;;;;0.27;;;;;0.24;;;;;0.21;;;;;;;0.17;;;;;;;;;0.13;;;;;;;;0.11;;;;;;;;;;0.09;;;;;;;;;0.07;;;;;;;;0.06;;;;;;;;;;0.05;;;;0.05;;;;;;;;;;;;;;;;;;
GE Vernova GE 2.75 - 103;;;;;;;0.12;;;;;0.25;;;;0.32;;;;;0.36;;;;0.39;;;;;;;0.42;;;0.43;;;;0.44;;;;0.44;;;;;0.45;;;;;0.45;;;;;0.45;;;;;0.45;;;;;;0.43;;;;;0.42;;;;0.39;;;;;0.36;;;;;0.33;;;;;0.3;;;;0.27;;;0.25;;;;;0.22;;;;0.2;;;;0.18;;;;0.16;;;;;0.15;;;;;0.13;;;0.12;;;;;;0.11;;;;0.1;;;;0.09;;;;0.09;;;;;;0.08;;0.07;;0.07;;;0.06;;0.06;0.06;0.05;0.05;0.05;0.04;0.04;0.04;0.04;;;;;
GE Vernova GE 2.75 - 120;;;;;;;0.13;;;;;0.3;;;;0.39;;;;;0.43;;;;0.45;;;;;;;0.46;;;0.47;;;;0.48;;;;0.48;;;;;0.48;;;;;0.47;;;;;0.46;;;;;0.43;;;;;;0.4;;;;;0.36;;;;0.33;;;;;0.29;;;;;0.26;;;;;0.23;;;;0.23;;;0.23;;;;;0.23;;;;0.23;;;;0.23;;;;0.23;;;;;0.23;;;;;0.23;;;0.23;;;;;;0.23;;;;0.23;;;;0.23;;;;0.23;;;;;;0.23;;0.23;;0.23;;;0.23;;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;;;;;
GE Vernova GE 3.2-130;;;;;;;0.26;;;;;0.37;;;;0.41;;;;;0.43;;;;0.44;;;;;;;0.45;;;0.45;;;;0.45;;;;0.44;;;;;0.45;;;;;0.45;;;;;0.44;;;;;0.42;;;;;;0.39;;;;;0.36;;;;0.33;;;;;0.29;;;;;0.26;;;;;0.23;;;;0.2;;;0.18;;;;;0.16;;;;0.15;;;;0.13;;;;0.12;;;;;0.11;;;;;0.1;;;0.09;;;;;;0.08;;;;0.07;;;;0.07;;;;0.06;;;;;;0.06;;0.05;;0.05;;;0.05;;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;;;;;
GE Vernova GE 3.4-137;;;;;;;0.222;;;;;0.356;;;;0.405;;;;;0.428;;;;0.44;;;;;;;0.447;;;0.451;;;;0.453;;;;0.454;;;;;0.452;;;;;0.446;;;;;0.433;;;;;0.412;;;;;;0.384;;;;;0.35;;;;0.314;;;;;0.28;;;;;0.248;;;;;0.219;;;;0.194;;;0.173;;;;;0.154;;;;0.138;;;;0.125;;;;0.113;;;;;0.102;;;;;0.093;;;0.085;;;;;;0.077;;;;0.071;;;;0.065;;;;0.06;;;;;;0.055;;0.051;;0.047;;;0.044;;0.041;0.038;0.036;0.033;0.031;0.029;0.027;0.026;0.024;;;;;
Greenstorm GS 21 S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WEG AGW 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halbes 1 kW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halbes 2 kW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEAG HW1-780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEAG HW3/S2500(90);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEAG HW3/S2500(97);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEAG HW3/S2500(103);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEAG HW3/S2500(110);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iskra AT5-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacobs Wind Electric 31-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krogmann 15-50;0.0;;;;;0.0;;;0.0;;;0.22;;;;;;0.27;;;;;;0.28;;;;0.28;;;;0.29;0.29;;;;;0.31;;;;;0.31;;;;;;0.31;;;;;0.3;;;;;0.3;;;0.29;;;;0.29;;;;;0.28;;;;;;;0.27;;;;;;0.26;;0.25;;;;;;;;0.23;;;0.22;;;0.2;;;;;0.18;;0.17;;;;;0.15;;;;;0.14;;;0.13;;;;;;;0.12;;;;0.11;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuriant KE 18/4EH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagerwey LW 52/750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagerwey LW 58/750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagerwey LW 72/2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW42 250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW42 500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW77 800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW77 850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW77 1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW77 1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 1650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW80 1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW86 1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW86 1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW90 500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW90 900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW90 950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW90 1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW90 1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW90 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW101 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW101 2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW101 3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW104 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leitwind LTW104 2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAN Aeroman 11/11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micon M 530;0.0;;0.0;;;;0.0;;;;;;;;;0.0;;;;;;;;;0.09;;;;;;;;;;0.28;;;;;;;;0.38;;;;;;;;;;0.43;;;;;;;;;;0.44;;;;;;;;;;;0.43;;;;;;;;;0.4;;;;;;;;;;0.37;;;;;;;0.33;;;;;;;;;0.29;;;;;;;;0.24;;;;;;;;;;0.2;;;;;;;;;0.16;;;;;;;;0.13;;;;;;;;;;0.11;;;;0.09;;;;;0.08;;0.06;;0.06;;0.05;;0.04;;;;;
