Turbine;Rotordurchmesser;Nabenhöhe;Einschaltgeschwindigkeit;Nennwindgeschwindigkeit;Abschaltgeschwindigkeit
W2E Wind to Energy W2E-185/6.0;185.0;up to 160;3.0;12.0;25.0
W2E Wind to Energy W2E-215/9.0;215.0;up to 170;3.0;13.0;25.0
WDRVM WD2.5-103;103.0;70.0;3.0;12.0;25.0
WDRVM WD2.5-103;103.0;80.0;3.0;12.0;25.0
WDRVM WD2.5-103;103.0;90.0;3.0;12.0;25.0
WES 18/80;18.0;18.0;3.0;13.0;25.0
WES 18/80;18.0;24.0;3.0;13.0;25.0
WES 18/80;18.0;30.0;3.0;13.0;25.0
WES 18/80;18.0;31.0;3.0;13.0;25.0
WES 18/80;18.0;39.0;3.0;13.0;25.0
WES 18/100;17.9;18.0;3.0;13.0;25.0
WES 18/100;17.9;24.0;3.0;13.0;25.0
WES 18/100;17.9;30.0;3.0;13.0;25.0
WES 18/100;17.9;31.0;3.0;13.0;25.0
WES 20/50;20.0;15.0;3.0;9.5;25.0
WES 20/50;20.0;18.0;3.0;9.5;25.0
WES 20/50;20.0;24.0;3.0;9.5;25.0
WES 20/50;20.0;30.0;3.0;9.5;25.0
WES 20/50;20.0;31.0;3.0;9.5;25.0
WES 30/250;30.0;30.0;3.5;13.0;25.0
WES 30/250;30.0;39.0;3.5;13.0;25.0
WES 30/250;30.0;48.0;3.5;13.0;25.0
Wincon W755/48;48.0;45-73;4.0;14.0;25.0
WEG Wind EnergyGroup WEG MS-3;33.0;25.0;5.0;11.5;25.0
WEG Wind EnergyGroup WEG MS-3;33.0;30.0;5.0;11.5;25.0
WESPA 200/29;29.8;36.0;4.0;14.0;25.0
WESPA 200/29;29.8;46.0;4.0;14.0;25.0
WESPA 200/29;29.8;50.0;4.0;14.0;25.0
WESPA 200/31;31.0;36.0;4.0;13.5;25.0
WESPA 200/31;31.0;46.0;4.0;13.5;25.0
WESPA 200/31;31.0;50.0;4.0;13.5;25.0
WESPA 500/47;47.0;45.0;4.0;14.5;25.0
WESPA 500/47;47.0;50.0;4.0;14.5;25.0
WESPA 500/47;47.0;55.0;4.0;14.5;25.0
WESPA 500/47;47.0;65.0;4.0;14.5;25.0
WESPA 750/47;47.0;45.0;4.0;14.5;25.0
WESPA 750/47;47.0;50.0;4.0;14.5;25.0
WESPA 750/47;47.0;55.0;4.0;14.5;25.0
WESPA 750/47;47.0;65.0;4.0;14.5;25.0
Wind World (India) ww-53;52.9;74.0;3.0;11.5;28.0
Wind World W2700;27.0;31.0;3.0;12.0;25.0
Wind World W2700;27.0;41.0;3.0;12.0;25.0
Windflow 45-500;45.0;31.5;4.5;11.5;25.0
Windflow 45-500;45.0;38.0;4.5;11.5;25.0
Windflow 45-500;45.0;47.0;4.5;11.5;25.0
Windflow 33-500;33.2;29.0;5.5;13.7;30.0
Windflow 33-500;33.2;39.0;5.5;13.7;30.0
Windflow 33-500;33.2;49.0;5.5;13.7;30.0
WindMaster / HMZ WM 300/25;25.0;22.6;5.0;15.0;25.0
WindMaster / HMZ WM 300/25;25.0;30.0;5.0;15.0;25.0
WindMaster / HMZ WM 600 VS45;45.9;52.0;3.0;11.0;25.0
Windspot 7.5Kw;6.3;12.0;3.0;12.0;20.0
Windspot 7.5Kw;6.3;14.0;3.0;12.0;20.0
Windspot 7.5Kw;6.3;18.0;3.0;12.0;20.0
WinWinD WWD-1 D56;56.0;50.0;3.6;12.5;20.0
WinWinD WWD-1 D56;56.0;70.0;3.6;12.5;20.0
WinWinD WWD-1 D60;60.0;50.0;3.6;12.5;20.0
WinWinD WWD-1 D60;60.0;70.0;3.6;12.5;20.0
WinWinD WWD-1 D64;64.0;50.0;3.6;12.5;25.0
WinWinD WWD-1 D64;64.0;70.0;3.6;12.5;25.0
