wind_speed;AN Bonus 1000/54;AN Bonus 1300/62;DWT Danish Wind Tech Windane 40;DeWind D4 48/600;ecotècnia ECO 48/750;Enercon E-18;Enercon E-30;Enercon E-33 / 300;Enercon E-40/5.40;Enercon E-40/6.44;Enercon E-44;Enercon E-48;Enercon E-53;Enercon E-58/10.58;Enercon E-66/15.66;Enercon E-66/18.70;Enercon E-70 E4 2.300;Enercon E-82 E2 2.300;Enercon E-82 E2 2.000;Enercon E-82 E4 2.350;Enercon E-82 E4 3.000;Enercon E-92;Enercon E-101;Enercon E-101 E2 3.050;Enercon E-101 E2 3.500;Enercon E-112/45.114;Enercon E-115 2.500;Enercon E-115 EP3 3.000 prototype;Enercon E-115 3.000;Enercon E-126 EP4;Enercon E-126 7.58 EP8;Enercon E-141 EP4;eno energy eno 100;eno energy eno 114 3.5;eno energy eno 126 3.5;Fuhrländer FL MD 77;Fuhrländer FL 2500/100;FWT 93/2000;FWT 100/2000;FWT 100/2500;FWT 104/2500;FWT 120/3000;Gamesa G97;Gamesa G114-2.0MW;Gamesa G114-2.5MW;Gamesa G126-2.5MW;Gamesa G128-4.5MW;Gamesa G128-5.0MW;Gamesa G132-3.3MW;Gamesa G132-5.0MW;GE Vernova GE 1.6 - 100;GE Vernova GE 2.5 - 100;GE Vernova GE 2.5-103;GE Vernova GE 2.5 - 120;GE Vernova GE 2.75 - 103;GE Vernova GE 2.75 - 120;GE Vernova GE 3.2-130;GE Vernova GE 3.4-137;Krogmann 15-50;Micon M 530;NEG Micon NM 48/750;NEG Micon NM 52/900;Nordex N29;Nordex N43;Nordex N50;Nordex N60;Nordex N90/2500;Nordex N100 Delta;Nordex N100 Gamma;Nordex N117 Delta;Nordex N117 Gamma;Nordex N117/3600 Delta;Nordex N131/3000 Delta;Nordex N131/3300 Delta;Nordex N131/3600 Delta;PowerWind PW56;REpower 48/600;Senvion 3.0M122;Senvion 3.2M122;Senvion 3.4M114;Senvion 3.4M140;Senvion MM100;Siemens SWT-2.3-113;Siemens SWT-3.15-142;Siemens SWT-3.2-113;Siemens SWT-3.3-130;Siemens SWT-3.3-130 LN;Siemens SWT-3.6-120 Onshore;Siemens SWT-3.6-130;Südwind S-70;Südwind S-70 (special nacelle);Südwind S-77;Tacke TW 80;Vestas V52;Vestas V90;Vestas V90 Gridstreamer;Vestas V100-1.8;Vestas V112-3.0 Offshore;Vestas V112-3.075 Onshore;Vestas V112-3.3;Vestas V112-3.45;Vestas V117-3.3;Vestas V117-3.45;Vestas V126-3.0;Vestas V126-3.3;Vestas V126-3.45;Vestas V136-3.45;W2E Wind to Energy W2E-93/2.0;W2E Wind to Energy W2E-100/2.0;W2E Wind to Energy W2E-100/2.5;W2E Wind to Energy W2E-120/3fc;Wincon W755/48;Wind World (India) ww-53;WinWinD WWD-1 D56;WinWinD WWD-1 D64
10.99;;;;;;;;;;;;;;;0.403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.49;;;;;;;;;;;;;;;0.392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.48;;;;;;;;;;;;;;;0.291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.98;;;;;;;;;;;;;;;0.266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.48;;;;;;;;;;;;;;;0.241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02;;;;;;;;;;;;;;;0.217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.51;;;;;;;;;;;;;;;0.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.98;;;;;;;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.47;;;;;;;;;;;;;;;0.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.98;;;;;;;;;;;;;;;0.107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.46;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.01;;;;;;;;;;;;;;;;0.239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.49;;;;;;;;;;;;;;;;0.309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.99;;;;;;;;;;;;;;;;0.412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.98;;;;;;;;;;;;;;;;0.423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.96;;;;;;;;;;;;;;;;0.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.98;;;;;;;;;;;;;;;;0.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.49;;;;;;;;;;;;;;;;0.427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.98;;;;;;;;;;;;;;;;0.409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.52;;;;;;;;;;;;;;;;0.397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.98;;;;;;;;;;;;;;;;0.335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.49;;;;;;;;;;;;;;;;0.306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.01;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.96;;;;;;;;;;;;;;;;0.234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.96;;;;;;;;;;;;;;;;0.195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.91;;;;;;;;;;;;;;;;0.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.52;;;;;;;;;;;;;;;;0.147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.07;;;;;;;;;;;;;;;;0.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.48;;;;;;;;;;;;;;;;0.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.91;;;;;;;;;;;;;;;;0.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.03;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.02;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.02;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;0.02;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;0.01;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;0.05;;0.06;0.23;0.04;0.038;;;;0.07;;;0.06;0.0;0.07;0.07;0.05;0.05;;0.055;;;;;;;;;;;;;;;;;;;;;;;;0.05;;0.05;0.05;0.06;0.058;0.05;0.053;0.04;0.04;0.045;0.04;;;;;;;;
22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;0.04;;0.05;0.23;0.04;0.033;;;;;;;0.05;0.0;0.06;0.06;0.05;0.04;;0.048;;;;;;;;;;;;;;;;;;;;;;;;0.05;;0.05;0.05;0.05;0.05;0.04;0.046;0.03;0.04;0.04;0.03;;;;;;;;
23.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;0.04;;0.04;0.23;0.03;0.029;;;;;;;0.0;0.0;0.05;0.05;0.04;0.04;;0.042;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;0.04;0.04;0.044;0.04;0.04;;;;;;;;;;;;
24.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;0.03;;0.04;0.23;0.03;0.026;;;;;;;0.0;0.0;0.04;0.05;0.04;0.03;;0.037;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;0.04;0.04;0.039;0.03;0.036;;;;;;;;;;;;
2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
